实验组,协议,超时间隔,丢包率,校验和错误率,效率(%),重传帧数,超时次数,发送帧数,接受载荷数,丢包数,坏帧数,备注
实验组A,P5,20,10,5,,,,,,,
实验组A,P5,30,10,5,,,,,,,
实验组A,P5,40,10,5,,,,,,,
实验组A,P5,50,10,5,,,,,,,
实验组A,P5,60,10,5,,,,,,,
实验组A,P5,80,10,5,,,,,,,
实验组A,P5,100,10,5,,,,,,,
实验组A,P5,120,10,5,,,,,,,
实验组A,P5,150,10,5,,,,,,,
实验组B,P5,50,0,5,,,,,,,
实验组B,P5,50,5,5,,,,,,,
实验组B,P5,50,10,5,,,,,,,
实验组B,P5,50,15,5,,,,,,,
实验组B,P5,50,20,5,,,,,,,
实验组B,P5,50,25,5,,,,,,,
实验组B,P5,50,30,5,,,,,,,
实验组C,P5,50,10,0,,,,,,,
实验组C,P5,50,10,5,,,,,,,
实验组C,P5,50,10,10,,,,,,,
实验组C,P5,50,10,15,,,,,,,
实验组C,P5,50,10,20,,,,,,,
实验组C,P5,50,10,25,,,,,,,
实验组D,P5,50,0,5,,,,,,,
实验组D,P6,50,0,5,,,,,,,
实验组D,P5,50,5,5,,,,,,,
实验组D,P6,50,5,5,,,,,,,
实验组D,P5,50,10,5,,,,,,,
实验组D,P6,50,10,5,,,,,,,
实验组D,P5,50,15,5,,,,,,,
实验组D,P6,50,15,5,,,,,,,
实验组D,P5,50,20,5,,,,,,,
实验组D,P6,50,20,5,,,,,,,
实验组D,P5,50,25,5,,,,,,,
实验组D,P6,50,25,5,,,,,,,
实验组D,P5,50,30,5,,,,,,,
实验组D,P6,50,30,5,,,,,,,
实验组E,P5,20,10,5,,,,,,,
实验组E,P6,20,10,5,,,,,,,
实验组E,P5,30,10,5,,,,,,,
实验组E,P6,30,10,5,,,,,,,
实验组E,P5,40,10,5,,,,,,,
实验组E,P6,40,10,5,,,,,,,
实验组E,P5,50,10,5,,,,,,,
实验组E,P6,50,10,5,,,,,,,
实验组E,P5,60,10,5,,,,,,,
实验组E,P6,60,10,5,,,,,,,
实验组E,P5,80,10,5,,,,,,,
实验组E,P6,80,10,5,,,,,,,
实验组E,P5,100,10,5,,,,,,,
实验组E,P6,100,10,5,,,,,,,
实验组F,P5,50,10,0,,,,,,,
实验组F,P6,50,10,0,,,,,,,
实验组F,P5,50,10,5,,,,,,,
实验组F,P6,50,10,5,,,,,,,
实验组F,P5,50,10,10,,,,,,,
实验组F,P6,50,10,10,,,,,,,
实验组F,P5,50,10,15,,,,,,,
实验组F,P6,50,10,15,,,,,,,
实验组F,P5,50,10,20,,,,,,,
实验组F,P6,50,10,20,,,,,,,
实验组F,P5,50,10,25,,,,,,,
实验组F,P6,50,10,25,,,,,,,
实验组G,P5,20,0,5,,,,,,,
实验组G,P5,20,5,5,,,,,,,
实验组G,P5,20,10,5,,,,,,,
实验组G,P5,20,15,5,,,,,,,
实验组G,P5,20,20,5,,,,,,,
实验组G,P5,20,25,5,,,,,,,
实验组G,P5,30,0,5,,,,,,,
实验组G,P5,30,5,5,,,,,,,
实验组G,P5,30,10,5,,,,,,,
实验组G,P5,30,15,5,,,,,,,
实验组G,P5,30,20,5,,,,,,,
实验组G,P5,30,25,5,,,,,,,
实验组G,P5,40,0,5,,,,,,,
实验组G,P5,40,5,5,,,,,,,
实验组G,P5,40,10,5,,,,,,,
实验组G,P5,40,15,5,,,,,,,
实验组G,P5,40,20,5,,,,,,,
实验组G,P5,40,25,5,,,,,,,
实验组G,P5,50,0,5,,,,,,,
实验组G,P5,50,5,5,,,,,,,
实验组G,P5,50,10,5,,,,,,,
实验组G,P5,50,15,5,,,,,,,
实验组G,P5,50,20,5,,,,,,,
实验组G,P5,50,25,5,,,,,,,
实验组G,P5,60,0,5,,,,,,,
实验组G,P5,60,5,5,,,,,,,
实验组G,P5,60,10,5,,,,,,,
实验组G,P5,60,15,5,,,,,,,
实验组G,P5,60,20,5,,,,,,,
实验组G,P5,60,25,5,,,,,,,
实验组G,P5,80,0,5,,,,,,,
实验组G,P5,80,5,5,,,,,,,
实验组G,P5,80,10,5,,,,,,,
实验组G,P5,80,15,5,,,,,,,
实验组G,P5,80,20,5,,,,,,,
实验组G,P5,80,25,5,,,,,,,
实验组G,P5,100,0,5,,,,,,,
实验组G,P5,100,5,5,,,,,,,
实验组G,P5,100,10,5,,,,,,,
实验组G,P5,100,15,5,,,,,,,
实验组G,P5,100,20,5,,,,,,,
实验组G,P5,100,25,5,,,,,,,
实验组G,P5,120,0,5,,,,,,,
实验组G,P5,120,5,5,,,,,,,
实验组G,P5,120,10,5,,,,,,,
实验组G,P5,120,15,5,,,,,,,
实验组G,P5,120,20,5,,,,,,,
实验组G,P5,120,25,5,,,,,,,
实验组G,P5,150,0,5,,,,,,,
实验组G,P5,150,5,5,,,,,,,
实验组G,P5,150,10,5,,,,,,,
实验组G,P5,150,15,5,,,,,,,
实验组G,P5,150,20,5,,,,,,,
实验组G,P5,150,25,5,,,,,,,
实验组H,P6,20,0,5,,,,,,,
实验组H,P6,20,5,5,,,,,,,
实验组H,P6,20,10,5,,,,,,,
实验组H,P6,20,15,5,,,,,,,
实验组H,P6,20,20,5,,,,,,,
实验组H,P6,20,25,5,,,,,,,
实验组H,P6,30,0,5,,,,,,,
实验组H,P6,30,5,5,,,,,,,
实验组H,P6,30,10,5,,,,,,,
实验组H,P6,30,15,5,,,,,,,
实验组H,P6,30,20,5,,,,,,,
实验组H,P6,30,25,5,,,,,,,
实验组H,P6,40,0,5,,,,,,,
实验组H,P6,40,5,5,,,,,,,
实验组H,P6,40,10,5,,,,,,,
实验组H,P6,40,15,5,,,,,,,
实验组H,P6,40,20,5,,,,,,,
实验组H,P6,40,25,5,,,,,,,
实验组H,P6,50,0,5,,,,,,,
实验组H,P6,50,5,5,,,,,,,
实验组H,P6,50,10,5,,,,,,,
实验组H,P6,50,15,5,,,,,,,
实验组H,P6,50,20,5,,,,,,,
实验组H,P6,50,25,5,,,,,,,
实验组H,P6,60,0,5,,,,,,,
实验组H,P6,60,5,5,,,,,,,
实验组H,P6,60,10,5,,,,,,,
实验组H,P6,60,15,5,,,,,,,
实验组H,P6,60,20,5,,,,,,,
实验组H,P6,60,25,5,,,,,,,
实验组H,P6,80,0,5,,,,,,,
实验组H,P6,80,5,5,,,,,,,
实验组H,P6,80,10,5,,,,,,,
实验组H,P6,80,15,5,,,,,,,
实验组H,P6,80,20,5,,,,,,,
实验组H,P6,80,25,5,,,,,,,
实验组H,P6,100,0,5,,,,,,,
实验组H,P6,100,5,5,,,,,,,
实验组H,P6,100,10,5,,,,,,,
实验组H,P6,100,15,5,,,,,,,
实验组H,P6,100,20,5,,,,,,,
实验组H,P6,100,25,5,,,,,,,
实验组H,P6,120,0,5,,,,,,,
实验组H,P6,120,5,5,,,,,,,
实验组H,P6,120,10,5,,,,,,,
实验组H,P6,120,15,5,,,,,,,
实验组H,P6,120,20,5,,,,,,,
实验组H,P6,120,25,5,,,,,,,
实验组H,P6,150,0,5,,,,,,,
实验组H,P6,150,5,5,,,,,,,
实验组H,P6,150,10,5,,,,,,,
实验组H,P6,150,15,5,,,,,,,
实验组H,P6,150,20,5,,,,,,,
实验组H,P6,150,25,5,,,,,,,
实验组I,原始版本,100,10,5,,,,,,,
实验组I,优化版本,100,10,5,,,,,,,
实验组J,P5,50,10,5,延迟方差=0,,,,,,
实验组J,P5,50,10,5,延迟方差=5,,,,,,
实验组J,P5,50,10,5,延迟方差=10,,,,,,
实验组J,P5,50,10,5,延迟方差=20,,,,,,
实验组J,P5,50,10,5,延迟方差=30,,,,,,
